name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
Harry Maguire,24,3,8.0,488,5.0,0.015,71,1.0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Danny Drinkwater,27,2,9.0,714,5.0,0.002,69,1.0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wes Morgan,33,3,3.0,649,4.5,0.033,63,3.0,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shinji Okazaki,31,1,7.0,607,5.5,0.012,63,4.0,0,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wilfred Ndidi,20,2,14.0,821,5.0,0.005,59,4.0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Demarai Gray,21,1,9.0,593,5.5,0.011,58,1.0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Daniel Amartey,22,2,5.0,356,4.5,0.003,53,4.0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andy King,28,2,3.0,327,4.5,0.006999999999999999,41,2.0,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ahmed Musa,24,1,17.0,742,6.5,0.015,39,4.0,0,2,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Yohan Benalouane,30,3,1.0,305,4.5,0.001,27,4.0,0,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Leonardo Ulloa,30,1,6.0,472,5.0,0.002,24,2.0,0,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,20,3,2.5,288,4.5,0.008,19,1.0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nampalys Mendy,25,2,10.0,325,4.5,0.001,6,2.0,0,3,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ben Hamer,29,4,0.5,132,4.5,0.001,0,1.0,0,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Molla Wague,26,3,1.5,171,4.5,0.0,0,4.0,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vicente Iborra,29,2,9.0,253,6.0,0.008,0,2.0,1,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roberto Firmino,25,1,38.0,2196,8.5,0.203,180,3.0,0,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Philippe Coutinho,25,1,45.0,2958,9.0,0.308,171,3.0,0,3,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mane,25,1,40.0,3219,9.5,0.053,156,4.0,0,3,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Georginio Wijnaldum,26,2,28.0,1280,7.0,0.071,149,2.0,0,3,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
James Milner,31,2,12.0,1824,6.5,0.104,139,1.0,0,4,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adam Lallana,29,1,25.0,1808,7.5,0.064,139,1.0,0,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,26,3,21.0,602,5.5,0.045,129,1.0,0,3,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Simon Mignolet,29,4,12.0,721,5.0,0.016,110,2.0,0,4,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dejan Lovren,28,3,17.0,708,5.5,0.013,106,2.0,0,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
